Old Ranking,Code,Name,Year,IMDB_Rating,My Rating,Lower Bound,Upper Bound,New Ranking,Change Ranking
0,tt0111161,The Shawshank Redemption,1994,9.3,9.5,9.5,9.5,0,0
48,tt0095327,Grave of the Fireflies,1988,8.5,9.5,9.4,9.6,1,-47
134,tt4729430,Klaus,2019,8.2,9.5,9.4,9.6,2,-132
17,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,9.5,9.4,9.6,3,-14
49,tt0088763,Back to the Future,1985,8.5,9.4,9.3,9.5,4,-45
752,tt0388795,Brokeback Mountain,2005,7.7,9.3,9.3,9.4,5,-747
52,tt0054215,Psycho,1960,8.5,9.3,9.3,9.4,6,-46
7,tt0050083,12 Angry Men,1957,8.9,9.4,9.3,9.5,7,0
63,tt3417422,Drishyam,2013,8.4,9.6,9.3,9.8,8,-55
108,tt0082096,Das Boot,1981,8.3,9.4,9.3,9.5,9,-99
380,tt0129167,The Iron Giant,1999,8,9.3,9.2,9.4,10,-370
47,tt0095765,Cinema Paradiso,1988,8.5,9.3,9.2,9.5,11,-36
64,tt2380307,Coco,2017,8.4,9.3,9.2,9.4,12,-52
68,tt0986264,Taare Zameen Par,2007,8.4,9.3,9.2,9.5,13,-55
45,tt0110357,The Lion King,1994,8.5,9.3,9.2,9.4,14,-31
46,tt0103064,Terminator 2: Judgment Day,1991,8.5,9.3,9.2,9.3,15,-31
449,tt0032138,The Wizard of Oz,1939,8,9.3,9.2,9.4,16,-433
393,tt0101414,Beauty and the Beast,1991,8,9.3,9.2,9.4,17,-376
12,tt0060196,"The Good, the Bad and the Ugly",1966,8.8,9.4,9.2,9.4,18,6
407,tt0073195,Jaws,1975,8,9.3,9.2,9.4,19,-388
3,tt0071562,The Godfather: Part II,1974,9,9.4,9.2,9.5,20,17
4,tt0167260,The Lord of the Rings: The Return of the King,2003,8.9,9.2,9.2,9.3,21,17
6,tt0108052,Schindler's List,1993,8.9,9.3,9.2,9.3,22,16
445,tt0036868,The Best Years of Our Lives,1946,8,9.3,9.2,9.5,23,-422
1,tt0068646,The Godfather,1972,9.2,9.2,9.2,9.3,24,23
58,tt8267604,CapharnaÃ¼m,2018,8.4,9.3,9.1,9.4,25,-33
829,tt0060665,A Man for All Seasons,1966,7.7,9.3,9.1,9.4,26,-803
53,tt0034583,Casablanca,1942,8.5,9.2,9.1,9.3,27,-26
56,tt0021749,City Lights,1931,8.5,9.3,9.1,9.4,28,-28
168,tt0095016,Die Hard,1988,8.2,9.2,9.1,9.3,29,-139
59,tt8108198,Andhadhun,2018,8.4,9.2,9.1,9.4,30,-29
388,tt0107048,Groundhog Day,1993,8,9.2,9.1,9.3,31,-357
70,tt0405094,The Lives of Others,2006,8.4,9.2,9.1,9.3,32,-38
75,tt0082971,Raiders of the Lost Ark,1981,8.4,9.3,9.1,9.4,33,-42
89,tt0435761,Toy Story 3,2010,8.3,9.2,9.1,9.3,34,-55
99,tt0114709,Toy Story,1995,8.3,9.2,9.1,9.3,35,-64
156,tt0363163,Downfall,2004,8.2,9.2,9.1,9.3,36,-120
500,tt0120363,Toy Story 2,1999,7.9,9.3,9.1,9.4,37,-463
16,tt0099685,Goodfellas,1990,8.7,9.2,9.1,9.4,38,22
31,tt0047478,Seven Samurai,1954,8.6,9.3,9.1,9.4,39,8
83,tt0043014,Sunset Blvd.,1950,8.4,9.1,9,9.2,40,-43
233,tt0386064,Tae Guk Gi: The Brotherhood of War,2004,8.1,9.2,9,9.3,41,-192
379,tt0140888,Central Station,1998,8,9.2,9,9.3,42,-337
104,tt0090605,Aliens,1986,8.3,9.1,9,9.2,43,-61
271,tt0080678,The Elephant Man,1980,8.1,9.1,9,9.2,44,-227
103,tt0091251,Come and See,1985,8.3,9.1,9,9.2,45,-58
81,tt0050825,Paths of Glory,1957,8.4,9.2,9,9.4,46,-35
29,tt0102926,The Silence of the Lambs,1991,8.6,9.1,9,9.2,47,18
24,tt0245429,Spirited Away,2001,8.6,9.1,9,9.2,48,24
